Проверка,Да/Нет,Ожидаемый результат,
Доступность,Да,Приложение запускается и загружается без ошибок,
HTTPS,Да,Все сетевые запросы идут по HTTPS, замок в адресной строке присутствует
Мобильная версия,Да,Корректное отображение на телефоне, UI адаптирован
Поиск,Да,Ввод ключевого слова даёт релевантные результаты,
Контакты,Да,Раздел «Контакты» присутствует и доступен,
Битые ссылки,Нет,Обнаружены битые ссылки в разделе «О компании»,
Контент,Да,Тексты без орфографических ошибок, информация актуальна
Формы отправки,Нет,"Форма обратной связи не валидирует email (принимает ""test@"")",
Кросс-браузерность,Да,В Chrome / Firefox / Safari отображение идентично,
Время загрузки,Да,Главный экран загружается за 3–4 секунды,
